ID,DGP,EV
v5_2019_2_22_11.5_8908_8908_8908,0.302130,440.030581
v5_2019_2_22_11.25_8908_8908_8908,0.368963,1010.586858
v5_2019_2_22_11.08_8908_8908_8908,0.356995,850.089173
v5_2019_2_22_11.75_8908_8908_8908,0.331956,890.903054
v5_2019_2_22_11.17_8908_8908_8908,0.364667,1004.777433
v5_2019_2_22_10.92_8908_8908_8908,0.495727,1960.718918
v5_2019_2_22_11.58_8908_8908_8908,0.313553,596.301037
v5_2019_2_22_11.33_8908_8908_8908,0.336407,787.297937
v5_2019_2_22_11.67_8908_8908_8908,0.321855,827.962460
v5_2019_2_25_11.08_8908_8908_8908,0.642279,3520.908394
v5_2019_2_25_10.92_8908_8908_8908,0.648581,3580.534434
v5_2019_2_25_11.75_8908_8908_8908,0.598855,3277.256270
v5_2019_2_25_10.83_8908_8908_8908,0.654824,3591.458081
v5_2019_2_25_10.33_8908_8908_8908,0.640371,3137.484411
v5_2019_2_25_10.58_8908_8908_8908,0.662612,3531.612334
v5_2019_2_25_10.42_8908_8908_8908,0.652355,3342.334935
v5_2019_2_25_11.42_8908_8908_8908,0.610496,3365.642612
v5_2019_2_25_11.58_8908_8908_8908,0.608442,3346.582880
v5_2019_2_25_10.75_8908_8908_8908,0.649876,3450.883791
v5_2019_2_25_11.67_8908_8908_8908,0.614700,3485.411804
v5_2019_2_25_10.67_8908_8908_8908,0.649056,3493.737192
v5_2019_2_25_10.25_8908_8908_8908,0.636877,3030.803711
v5_2019_2_25_11.17_8908_8908_8908,0.630805,3490.213845
v5_2019_2_25_11.33_8908_8908_8908,0.616132,3377.984402
v5_2019_2_25_11.5_8908_8908_8908,0.609583,3317.069204
v5_2019_2_25_10.5_8908_8908_8908,0.652761,3389.969358
v5_2019_2_25_11.25_8908_8908_8908,0.621482,3294.564929
v5_2019_2_25_11.0_8908_8908_8908,0.633680,3414.559286
v5_2019_2_22_11.33_8909_8909_8909,0.181812,198.580528
v5_2019_2_22_11.5_8909_8909_8909,0.066078,126.024306
v5_2019_2_22_10.92_8909_8909_8909,0.365693,574.149964
v5_2019_2_22_11.25_8909_8909_8909,0.268504,298.486232
v5_2019_2_22_11.58_8909_8909_8909,0.159800,192.987261
v5_2019_2_22_11.67_8909_8909_8909,0.225086,266.037964
v5_2019_2_22_11.83_8909_8909_8909,0.245370,504.549314
v5_2019_2_22_11.42_8909_8909_8909,0.085589,140.101639
v5_2019_2_22_11.75_8909_8909_8909,0.233625,285.333165
v5_2019_2_22_11.0_8909_8909_8909,0.298900,334.016323
v5_2019_2_22_11.08_8909_8909_8909,0.257436,274.791674
v5_2019_2_22_11.92_8909_8909_8909,0.253759,361.333034
v5_2019_2_22_11.17_8909_8909_8909,0.268361,317.369393
